team,Gen.G,Bilibili Gaming,Hanwha Life Esports,Top Esports,G2 Esports,T1,Dplus KIA,LNG Esports,Weibo Gaming,Fnatic,Team Liquid,FlyQuest,PSG Talon,MAD Lions KOI,GAM Esports,paiN Gaming
Gen.G,0.5,0.558258229652225,0.5864297292404452,0.6444736299909332,0.6703931469633952,0.6796530449646229,0.6977499017650531,0.7275913652050056,0.7395899824632969,0.7533860777856145,0.7604467188742747,0.7741479777018306,0.7866414079460726,0.7998550544680548,0.8277259366683788,0.8631931113967899
Bilibili Gaming,0.441741770347775,0.5,0.5287505638922686,0.5892191514734696,0.6167715916989555,0.626699081666732,0.6462302910048252,0.6788169197947567,0.6920546137804465,0.7073726421756363,0.7152527510491987,0.730623229132615,0.7447304068650347,0.7597469266479578,0.7917488375081845,0.8331296242191535
Hanwha Life Esports,0.4135702707595547,0.4712494361077314,0.5,0.5610954515761258,0.5892191514734696,0.5993967967092568,0.6194891539049209,0.6532171672188698,0.6669923623994732,0.6829859869471913,0.691236152414763,0.7073726421756363,0.7222345336491706,0.7381090325404187,0.7721286734685839,0.8165045582719105
Top Esports,0.3555263700090669,0.4107808485265304,0.43890454842387416,0.5,0.5287505638922686,0.5392548762533607,0.5601501452319029,0.5957052541872713,0.6104024220946891,0.6275964503481186,0.6365209581741295,0.6540859751934834,0.6703931469633952,0.6879503189567514,0.7260674527956524,0.7768206153781978
G2 Esports,0.3296068530366047,0.3832284083010446,0.4107808485265304,0.4712494361077314,0.5,0.510551948068183,0.5316182978281073,0.5676998161422668,0.5827018849642301,0.600317939825836,0.6094894017717772,0.6275964503481186,0.6444736299909332,0.6627168323069801,0.7025837143965216,0.7562270379996142
T1,0.32034695503537713,0.373300918333268,0.40060320329074317,0.46074512374663934,0.48944805193181695,0.5,0.5210945011848798,0.5573116337622928,0.572402670289364,0.5901476950165957,0.5993967967092568,0.617678266169229,0.6347433350523167,0.6532171672188698,0.6936879164219654,0.7483610595536495
Dplus KIA,0.30225009823494675,0.35376970899517474,0.3805108460950791,0.4398498547680971,0.46838170217189273,0.47890549881512023,0.5,0.5363931239494337,0.5516235473109605,0.5695824716945254,0.5789645636907977,0.5975524074486783,0.6149558094311643,0.6338531407011209,0.6754609739215757,0.7321311475986241
LNG Esports,0.2724086347949945,0.3211830802052434,0.34678283278113026,0.4042947458127287,0.4323001838577332,0.44268836623770724,0.4636068760505663,0.5,0.5153457461624493,0.5335289725680429,0.5430664920222119,0.5620403147470981,0.5798997603578815,0.5993967967092568,0.6427130688326204,0.7025837143965216
Weibo Gaming,0.2604100175367031,0.30794538621955353,0.3330076376005267,0.389597577905311,0.41729811503576986,0.42759732971063596,0.4483764526890395,0.48465425383755073,0.5,0.5182207266362922,0.527794221268358,0.546873071538509,0.5648721788731674,0.5845670169232292,0.6284929406326066,0.6895956264467905
Fnatic,0.24661392221438547,0.2926273578243637,0.31701401305280863,0.3724035496518814,0.3996820601741639,0.4098523049834043,0.4304175283054746,0.4664710274319571,0.48177927336370774,0.5,0.5095929272514915,0.5287505638922686,0.546873071538509,0.5667577510171676,0.6113146690802576,0.6737761878883222
Team Liquid,0.23955328112572524,0.2847472489508014,0.308763847585237,0.3634790418258706,0.39051059822822287,0.40060320329074317,0.42103543630920226,0.4569335079777882,0.472205778731642,0.4904070727485084,0.5,0.5191787948458871,0.5373473171664928,0.5573116337622928,0.6021580931747169,0.6652853984358708
FlyQuest,0.22585202229816936,0.269376770867385,0.2926273578243637,0.34591402480651656,0.3724035496518814,0.38232173383077084,0.4024475925513216,0.43795968525290185,0.45312692846149105,0.4712494361077314,0.4808212051541128,0.5,0.5182207266362922,0.5383012369024034,0.5836347502599398,0.6479830132503057
PSG Talon,0.2133585920539273,0.25526959313496533,0.2777654663508294,0.3296068530366047,0.3555263700090669,0.3652566649476832,0.3850441905688357,0.42010023964211857,0.43512782112683257,0.45312692846149105,0.4626526828335072,0.48177927336370774,0.5,0.5201367220358165,0.5658152030692333,0.6311770881950961
MAD Lions KOI,0.2001449455319451,0.2402530733520421,0.2618909674595814,0.31204968104324854,0.3372831676930199,0.34678283278113026,0.3661468592988792,0.40060320329074317,0.4154329830767708,0.43324224898283226,0.44268836623770724,0.46169876309759666,0.47986327796418354,0.5,0.5459219227804837,0.612226137001617
GAM Esports,0.17227406333162126,0.20825116249181558,0.22787132653141615,0.27393254720434757,0.2974162856034785,0.3063120835780346,0.32453902607842433,0.3572869311673796,0.37150705936739326,0.38868533091974244,0.39784190682528303,0.41636524974006006,0.43418479693076684,0.4540780772195163,0.5,0.5676998161422668
paiN Gaming,0.13680688860321,0.16687037578084654,0.18349544172808951,0.22317938462180228,0.24377296200038578,0.25163894044635055,0.26786885240137587,0.2974162856034785,0.3104043735532095,0.32622381211167784,0.33471460156412924,0.3520169867496943,0.36882291180490384,0.3877738629983829,0.4323001838577332,0.5
