team,Team #1,Team #2,Team #3,Team #4,Team #5,Team #6,Team #7,Team #8,Team #9,Team #10,Team #11,Team #12,Team #13,Team #14,Team #15,Team #16
Team #1,0.5,0.5985751088403811,0.7022482495267048,0.7625689685772015,0.7724962622026856,0.8235762747830171,0.8514536875304765,0.8574992626929739,0.8813032769351365,0.8898090473903392,0.8917027138044761,0.9040990752154128,0.9581091434635424,0.9612481069634021,0.968503762944972,0.9711113722096337
Team #2,0.4014248911596189,0.5,0.6126571633709773,0.6829331192275494,0.694857717783448,0.7579064922741025,0.7935595783347278,0.8014117984201136,0.8327576279470856,0.8441268870476533,0.8466703358701997,0.8634319142400234,0.9387946723949012,0.943295251534575,0.9537505559024827,0.9575260336296267
Team #3,0.2977517504732951,0.38734283662902264,0.5,0.5765896133739878,0.5901132621800331,0.6643501074905184,0.7084816996112013,0.7184217199139291,0.7589265291666332,0.7739524752412344,0.7773389483785261,0.7998883091931841,0.9065201397095699,0.9131744544142073,0.9287640688490594,0.9344390561299317
Team #4,0.23743103142279853,0.3170668807724506,0.42341038662601227,0.5,0.5139075952261565,0.5924135189314045,0.6408908001073446,0.6520034704985949,0.698046849657185,0.7154446243237824,0.7193898198590069,0.7458893680794947,0.8768657145654972,0.8853640210913476,0.9054299017353244,0.9127892466947793
Team #5,0.2275037377973144,0.30514228221655204,0.40988673781996693,0.4860924047738436,0.5,0.5789116082246488,0.627986337331926,0.639273574142194,0.6861905947266129,0.7039818053995475,0.7080210675194655,0.7351990415400483,0.8707305533266425,0.8795941451365193,0.9005565469366051,0.908256704529673
Team #6,0.1764237252169829,0.24209350772589747,0.3356498925094815,0.4075864810685956,0.42108839177535123,0.5,0.5511407345343992,0.5631375696798261,0.6139774887736303,0.6336771515312388,0.6381826876635917,0.6688206329566866,0.8304931836630763,0.8416138696757726,0.8681977423565729,0.8780642613283557
Team #7,0.1485463124695236,0.20644042166527224,0.2915183003887987,0.3591091998926554,0.37201366266807406,0.4488592654656008,0.5,0.5121538089626314,0.5643368034834662,0.5848568610304915,0.5895739448984669,0.6218892769149252,0.7996079402876765,0.8122969241680806,0.8428828078696762,0.8543263992158134
Team #8,0.14250073730702606,0.19858820157988635,0.2815782800860709,0.3479965295014051,0.360726425857806,0.43686243032017397,0.48784619103736854,0.5,0.5523467219214458,0.5730042190235661,0.5777587487286157,0.6103896009552381,0.791702933518531,0.804770255667983,0.8363354856279637,0.8481700496612272
Team #9,0.11869672306486354,0.1672423720529144,0.24107347083336678,0.30195315034281506,0.31380940527338713,0.38602251122636966,0.43566319651653385,0.4476532780785541,0.5,0.5209781720883019,0.525832624884093,0.5594162338835963,0.7549268285674896,0.7696299401448806,0.8055036244444931,0.8190853667080706
Team #10,0.11019095260966073,0.15587311295234668,0.22604752475876563,0.2845553756762176,0.2960181946004524,0.3663228484687612,0.41514313896950855,0.42699578097643387,0.4790218279116981,0.5,0.5048649985802446,0.5386306656376882,0.7390625866361029,0.7544078403742982,0.7920113473375485,0.8063087054501854
Team #11,0.10829728619552388,0.1533296641298004,0.22266105162147393,0.28061018014099326,0.2919789324805345,0.36181731233640846,0.41042605510153307,0.4222412512713843,0.474167375115907,0.49513500141975547,0.5,0.5337910695796242,0.7352922042315964,0.7507844190586439,0.7887873944353425,0.8032513169087058
Team #12,0.0959009247845873,0.13656808575997656,0.20011169080681593,0.25411063192050537,0.26480095845995166,0.3311793670433134,0.3781107230850747,0.3896103990447619,0.44058376611640376,0.46136933436231176,0.46620893042037587,0.5,0.7081199958972266,0.7246068698887932,0.7653540872403367,0.7809771481161808
Team #13,0.041890856536457736,0.06120532760509877,0.09347986029042997,0.12313428543450272,0.1292694466733575,0.16950681633692366,0.2003920597123236,0.20829706648146895,0.24507317143251037,0.26093741336389703,0.26470779576840364,0.2918800041027734,0.5,0.5202785769848925,0.5734619891970457,0.5951023351121947
Team #14,0.03875189303659794,0.05670474846542502,0.08682554558579271,0.1146359789086524,0.12040585486348061,0.1583861303242274,0.1877030758319193,0.19522974433201692,0.23037005985511932,0.24559215962570177,0.24921558094135615,0.27539313011120675,0.4797214230151074,0.5,0.5535022222391996,0.5754054478239312
Team #15,0.03149623705502804,0.04624944409751736,0.07123593115094062,0.09457009826467551,0.09944345306339489,0.13180225764342718,0.15711719213032382,0.16366451437203625,0.19449637555550692,0.20798865266245153,0.21121260556465749,0.2346459127596633,0.4265380108029543,0.44649777776080035,0.5,0.5222624850143016
Team #16,0.028888627790366227,0.0424739663703732,0.06556094387006826,0.08721075330522064,0.09174329547032699,0.12193573867164442,0.14567360078418662,0.15182995033877272,0.18091463329192944,0.19369129454981457,0.19674868309129415,0.2190228518838193,0.40489766488780526,0.42459455217606873,0.4777375149856983,0.5
